c24_g2_i1	NvOr111	25.000	909	108	581	270	66	2.46e-04	38.5
c70_g1_i1	AmOr104	34.375	447	32	109	204	21	0.039	30.0
c75_g1_i1	AmOr167C	31.481	300	54	142	300	33	0.045	28.5
c162_g1_i1	LhOr227	39.024	372	41	231	109	25	0.019	30.0
c162_g1_i1	LhOr228	34.146	372	41	231	109	27	0.021	30.0
c273_g2_i1	LhOr367	39.024	210	41	46	168	24	0.011	28.9
c327_g2_i1	HsOr35	29.091	214	55	193	29	39	0.016	28.5
c468_g1_i1	LhOr233	39.474	322	38	203	316	19	0.012	30.4
c468_g1_i1	PbOr384FN	44.828	322	29	224	310	12	0.021	29.6
c482_g1_i1	PbOr206FIX	56.522	416	23	103	35	10	0.047	29.3
c553_g1_i1	LhOr112	42.500	261	40	88	207	16	0.048	28.1
c634_g1_i1	CfOr395	24.324	401	74	308	93	54	0.047	29.3
c723_g1_i1	PbOr343PSE	26.471	297	102	292	8	49	0.003	31.6
c810_g1_i1	NvOr72	25.806	2094	124	776	1123	69	0.025	33.9
c983_g1_i1	CfOr33	44.444	277	27	184	104	15	0.010	30.0
c1008_g1_i1	HsOr130	52.174	226	23	205	137	11	0.040	27.7
c1145_g1_i1	HsOr157	31.148	397	61	198	31	37	0.010	31.2
c1145_g1_i1	HsOr158	31.148	397	61	198	31	37	0.022	30.0
c1387_g2_i1	CfOr384	31.618	728	136	549	175	71	0.002	35.4
c1405_g1_i1	PbOr161FI	36.923	757	65	463	651	36	0.004	34.3
c1444_g1_i1	PbOr146	43.333	227	30	98	187	16	0.001	32.0
c1444_g1_i1	LhOr206NTE	36.667	227	30	98	187	18	0.004	30.8
c1557_g2_i1	CfOr225	32.184	269	87	9	266	47	0.033	28.5
c1596_g1_i1	NvOr96	31.915	297	47	133	35	18	0.011	30.0
c1627_g1_i1	PbOr1	29.412	750	85	740	513	47	0.006	33.9
c1627_g1_i1	CfOrco	28.736	750	87	737	504	49	0.010	33.1
c1743_g1_i1	NvOr111	36.364	292	33	189	91	15	0.029	28.9
c1754_g1_i1	HsOr306	30.000	230	30	190	101	21	0.022	28.5
c1774_g2_i1	NvOr161	27.119	266	59	84	260	38	0.037	28.1
c1831_g1_i1	PbOr77NTE	25.641	256	39	115	231	28	0.044	28.1
c1950_g1_i1	NvOr266	19.481	863	154	164	613	108	5.19e-04	37.4
c1992_g1_i1	HsOr362	39.583	211	48	196	53	23	0.034	27.7
c2015_g1_i1	AmOr50	43.478	306	23	197	265	13	0.045	28.5
c2042_g1_i1	AmOr58	62.500	231	24	47	118	9	0.007	29.6
c2042_g1_i2	AmOr58	62.500	226	24	47	118	9	0.017	28.9
c2091_g1_i1	HsOr243	32.323	1578	99	534	253	49	0.007	35.0
c2116_g1_i1	PbOr363FIX	38.000	452	50	151	5	27	7.86e-04	35.0
c2237_g2_i1	CfOr176	27.778	779	90	264	533	63	0.041	31.2
c2325_g1_i1	LhOr57	37.838	1061	37	528	421	22	0.024	32.7
c2325_g1_i1	LhOr55	32.500	1061	40	528	409	27	0.030	32.3
c2373_g1_i2	PbOr27	37.736	2739	53	227	364	26	0.014	35.0
c2462_g2_i1	HsOr241	27.027	806	74	136	357	42	0.040	31.2
c2611_g1_i1	NvOr208PSE	42.308	245	52	63	212	26	0.001	32.3
c2763_g1_i1	NvOr223PSE	36.585	243	41	19	141	23	0.021	28.9
c2913_g2_i1	CfOr380	34.091	301	44	132	1	29	0.018	29.6
c2979_g1_i1	NvOr140	75.684	1173	329	1172	189	79	0.0	522
c2979_g1_i1	NvOr137	53.659	1173	328	1172	192	145	6.62e-126	365
c2979_g1_i1	NvOr139	51.829	1173	328	1172	192	151	1.62e-119	348
c2979_g1_i1	NvOr142	49.390	1173	328	1172	192	165	8.38e-119	347
c2979_g1_i1	NvOr141	49.235	1173	327	1172	192	166	2.29e-115	338
c2979_g1_i1	NvOr143	48.916	1173	323	1157	189	164	3.39e-115	338
c2979_g1_i1	NvOr133	44.807	1173	337	1172	192	172	5.25e-108	319
c2979_g1_i1	NvOr134	43.636	1173	330	1172	195	182	1.29e-105	313
c2979_g1_i1	NvOr132	45.015	1173	331	1172	192	178	5.62e-105	311
c2979_g1_i1	NvOr135	46.037	1173	328	1172	192	169	4.81e-104	309
c2979_g1_i1	NvOr130	42.121	1173	330	1172	195	187	2.22e-98	295
c2979_g1_i1	NvOr138INT	46.341	1173	328	1172	192	142	1.37e-97	291
c2979_g1_i1	NvOr136PSE	43.293	1173	328	1172	192	178	1.61e-95	287
c2979_g1_i1	NvOr129	42.154	1173	325	1151	180	184	7.88e-89	270
c2979_g1_i1	NvOr144PSE	43.046	1173	302	1094	192	129	7.80e-86	258
c2979_g1_i1	NvOr131PSE	43.072	1173	332	1172	195	176	1.01e-85	262
