c30_g2_i1	NvOr20	25.424	233	59	200	30	39	0.041	27.7
c44_g1_i1	LhOr363	31.034	437	58	207	52	34	0.047	29.6
c114_g1_i1	CfOr400	23.944	2446	71	1928	1716	54	0.032	33.5
c187_g1_i1	NvOr99	32.955	305	88	279	43	48	0.033	28.9
c243_g1_i1	AmOr149CN	33.333	232	39	121	5	26	0.002	31.2
c371_g1_i1	PbOr304FIX	29.630	499	81	238	453	45	0.037	30.4
c420_g1_i1	NvOr102	28.750	438	80	412	185	52	0.036	30.0
c429_g1_i1	NvOr227	30.120	854	83	598	377	47	0.006	34.3
c429_g1_i1	NvOr222	35.484	854	62	553	374	36	0.035	31.6
c446_g1_i1	AmOr138N	27.160	318	81	61	288	54	0.027	29.3
c446_g1_i1	AmOr132	38.095	318	42	166	288	25	0.041	28.9
c496_g1_i2	HsOr218	32.353	227	34	124	23	23	0.049	27.3
c509_g1_i1	PbOr262	31.746	400	63	23	208	39	0.042	29.3
c509_g1_i1	PbOr261	31.746	400	63	23	208	39	0.043	29.3
c517_g1_i1	CfOr241	35.135	225	37	181	71	24	0.015	28.9
c525_g1_i1	CfOr191	39.024	413	41	140	18	24	0.032	30.0
c562_g1_i1	LhOr126	23.881	342	67	30	230	51	0.042	28.9
c617_g1_i1	HsOr86	52.500	524	40	249	136	16	0.018	31.2
c810_g1_i1	NvOr156	76.562	360	64	51	242	15	7.25e-32	112
c810_g1_i1	NvOr159	67.188	360	64	51	242	21	5.49e-28	102
c810_g1_i1	NvOr158	62.500	360	64	51	242	24	5.69e-24	90.9
c810_g1_i1	NvOr147	43.056	360	72	27	242	40	9.94e-17	70.9
c810_g1_i1	NvOr145	50.000	360	60	63	242	30	3.05e-16	69.7
c810_g1_i1	NvOr162	48.611	360	72	30	239	34	3.87e-16	69.3
c810_g1_i1	NvOr165JOI	47.222	360	72	30	239	35	1.65e-15	67.4
c810_g1_i1	NvOr163	47.222	360	72	30	239	35	1.94e-15	67.4
c810_g1_i1	NvOr151	38.961	360	77	12	242	46	3.27e-15	66.6
c810_g1_i1	NvOr152PSE	45.000	360	60	63	242	33	4.17e-15	65.5
c810_g1_i1	NvOr173	49.153	360	59	63	239	30	6.39e-15	65.9
c810_g1_i1	NvOr146	45.000	360	60	63	242	33	7.49e-15	65.5
